Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Tuition fees up to date,Curricular units 1st sem (grade),Age at enrollment,Admission grade,Curricular units 2nd sem (evaluations),Previous qualification (grade),Course,Curricular units 1st sem (evaluations),Father's occupation,Mother's occupation,GDP,Application mode,Mother's qualification,Father's qualification,Scholarship holder,Debtor,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Previous qualification,Displaced,Curricular units 2nd sem (without evaluations),Curricular units 1st sem (without evaluations),Inflation rate,Unemployment rate,Gender,Application order,Target
5,14.2,6,1,12.33333333,18,130.6,7,139.0,9670,6,7,5,0.79,1,38,19,0,0,6,6,1,1,0,0,-0.3,13.9,0,1,Non-Dropout
7,13.21428571,7,1,13.21428571,18,119.3,8,136.0,9500,8,9,9,-1.7,1,19,38,1,0,8,8,1,1,0,0,3.7,12.7,0,1,Non-Dropout
0,0.0,0,1,0.0,19,130.2,0,133.0,9853,6,9,4,-1.7,1,19,37,0,0,6,6,1,1,0,0,3.7,12.7,0,2,Dropout
5,11.0,6,1,10.57142857,21,111.8,8,110.0,9254,7,7,4,3.51,53,1,1,1,0,6,6,42,1,0,0,1.4,8.9,0,1,Non-Dropout
5,12.0,4,1,13.25,18,137.1,5,149.0,9085,7,5,5,1.74,1,38,37,1,0,5,5,1,1,0,0,1.4,10.8,0,1,Non-Dropout
0,0.0,5,1,13.2,20,120.7,7,127.0,9773,6,3,9,-4.06,1,19,37,0,0,6,6,1,1,0,0,2.8,15.5,0,1,Dropout
2,11.0,1,1,12.0,18,137.4,14,137.0,9238,10,8,5,1.74,18,19,38,0,0,6,6,1,1,0,0,1.4,10.8,0,1,Non-Dropout
8,14.545,7,1,13.30625,18,127.3,8,135.0,9500,8,4,5,-4.06,17,19,1,0,0,8,7,1,1,0,0,2.8,15.5,0,2,Non-Dropout
4,12.25,4,1,12.5,20,136.3,8,137.0,9130,8,5,3,1.74,1,3,19,0,0,5,5,1,1,2,1,1.4,10.8,0,1,Non-Dropout
6,13.5,6,1,11.66666667,18,124.6,8,140.0,9853,7,7,7,-0.92,1,19,19,0,0,7,7,1,1,0,0,0.3,16.2,0,1,Non-Dropout
0,0.0,0,1,0.0,21,120.3,0,122.0,171,0,8,9,2.02,1,1,1,1,0,0,0,1,0,0,0,0.6,11.1,0,3,Non-Dropout
8,11.425,7,1,11.4375,20,121.8,9,127.0,9556,14,7,4,-1.7,18,1,38,0,0,8,7,1,1,0,0,3.7,12.7,0,4,Non-Dropout
7,12.85714286,7,1,12.85714286,18,125.5,12,142.0,9500,12,1,1,-1.7,1,19,19,0,0,8,8,1,1,0,0,3.7,12.7,0,4,Non-Dropout
6,12.28571429,6,1,13.375,19,114.9,7,125.0,9670,8,7,4,2.02,1,1,38,1,0,6,6,1,1,0,0,0.6,11.1,0,4,Non-Dropout
7,14.11428571,6,1,13.29666667,19,123.9,9,126.0,9500,8,7,3,2.02,1,19,19,0,0,8,7,1,0,0,0,0.6,11.1,0,1,Non-Dropout
4,11.0,5,1,11.6,18,157.0,12,151.0,9238,8,9,9,0.32,1,19,38,1,1,6,6,1,1,0,0,2.6,7.6,0,1,Non-Dropout
6,13.28571429,6,1,11.375,21,116.4,9,115.0,9238,9,8,7,-0.92,17,19,38,0,0,6,6,1,1,0,0,0.3,16.2,0,2,Non-Dropout
4,13.0,5,1,12.66666667,18,131.0,7,138.0,9085,9,3,3,-3.12,1,19,19,0,0,5,5,1,1,0,2,-0.8,9.4,0,1,Non-Dropout
5,12.33333333,5,1,12.0,20,122.1,6,135.0,9147,6,9,9,-0.92,1,19,1,0,0,5,5,1,1,0,0,0.3,16.2,0,1,Non-Dropout
6,13.71666667,6,1,12.93333333,19,118.8,7,127.0,9500,9,10,1,-0.92,17,3,3,0,0,7,7,1,1,0,0,0.3,16.2,1,2,Non-Dropout
5,10.57142857,5,1,11.85714286,21,150.0,17,150.0,9003,15,2,4,-0.92,44,4,5,0,0,6,6,39,0,0,0,0.3,16.2,1,1,Non-Dropout
4,13.4,6,1,12.83333333,20,130.0,9,125.0,9070,7,124,125,3.51,51,42,3,0,0,6,6,1,1,0,0,1.4,8.9,1,1,Non-Dropout
2,13.5,3,0,11.33333333,18,138.8,8,143.0,9147,9,6,4,3.51,1,1,1,0,0,5,5,1,0,0,0,1.4,8.9,1,1,Non-Dropout
6,14.375,6,1,12.66666667,19,134.5,8,138.0,8014,6,5,9,1.79,18,19,1,0,0,6,6,1,1,0,0,0.5,12.4,0,1,Non-Dropout
5,13.42857143,5,1,12.4,34,131.4,9,130.0,9991,6,9,3,0.79,1,2,37,0,0,5,5,1,0,0,0,-0.3,13.9,1,1,Non-Dropout
1,10.0,0,0,0.0,37,102.5,7,130.0,33,7,6,9,3.51,39,38,37,0,1,7,7,1,0,0,0,1.4,8.9,1,1,Dropout
0,0.0,0,1,0.0,43,128.8,0,133.1,9119,0,0,0,0.32,39,34,37,0,0,5,5,10,1,0,0,2.6,7.6,1,1,Dropout
2,12.0,1,1,10.0,55,122.9,8,140.0,9147,10,6,6,-0.92,43,37,37,0,0,5,5,1,0,2,0,0.3,16.2,0,1,Dropout
5,11.6,5,1,11.0,39,113.9,5,120.0,9991,8,3,9,0.32,39,19,19,0,0,5,5,1,1,0,0,2.6,7.6,0,1,Non-Dropout
3,12.0,3,0,11.66666667,20,120.0,11,120.0,9130,13,6,3,1.79,44,4,4,0,1,6,6,39,0,0,0,0.5,12.4,0,1,Dropout
0,0.0,4,1,12.75,18,121.1,5,126.0,9773,6,2,2,-1.7,1,3,3,0,1,5,6,1,0,0,0,3.7,12.7,0,5,Dropout
5,15.8,5,1,14.8,22,120.4,5,133.0,9147,5,7,2,3.51,1,3,19,0,0,5,5,1,1,0,0,1.4,8.9,0,2,Non-Dropout
7,14.34285714,5,1,13.928,22,100.6,9,103.0,9500,9,2,2,2.02,1,1,3,0,0,8,7,1,1,0,0,0.6,11.1,0,6,Non-Dropout
5,13.8,4,0,13.0,20,121.4,7,120.0,9773,7,5,5,1.79,17,1,38,0,0,6,6,1,0,0,0,0.5,12.4,0,1,Dropout
0,0.0,0,1,0.0,29,109.7,0,133.1,9991,0,9,9,-0.92,39,37,37,0,0,5,5,1,0,0,0,0.3,16.2,0,1,Dropout
3,14.33333333,2,1,11.5,24,134.1,11,154.0,9991,9,5,4,0.32,17,38,38,0,0,5,5,1,0,1,0,2.6,7.6,0,1,Non-Dropout
5,13.2,6,1,11.66666667,18,127.6,8,130.0,9238,6,9,9,2.02,17,19,19,0,0,6,6,1,1,0,0,0.6,11.1,0,2,Non-Dropout
7,13.77142857,6,1,13.51666667,22,132.4,9,132.0,9500,8,7,7,2.02,17,37,19,1,0,8,7,1,1,0,0,0.6,11.1,0,6,Non-Dropout
6,13.28571429,6,1,11.5,21,133.4,7,130.0,8014,6,9,9,1.79,44,1,19,1,0,6,6,39,0,0,0,0.5,12.4,0,1,Non-Dropout
6,12.83333333,5,1,12.33333333,19,126.1,7,139.0,9238,7,9,9,-1.7,1,37,38,1,0,6,6,1,0,0,0,3.7,12.7,0,1,Non-Dropout
6,14.16666667,6,1,13.66666667,24,113.5,6,130.0,9254,6,7,9,1.79,39,19,38,1,0,6,6,1,0,0,0,0.5,12.4,0,1,Non-Dropout
6,11.83333333,6,1,11.83333333,19,121.3,10,139.0,9500,10,6,6,-3.12,1,37,38,1,0,8,8,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
3,11.0,4,1,14.0,20,121.8,12,127.0,9773,11,7,7,-3.12,1,1,19,1,0,6,6,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
5,15.8,5,1,14.71428571,19,159.3,5,167.0,9130,7,90,90,0.32,1,37,37,0,0,5,5,1,0,0,0,2.6,7.6,0,3,Non-Dropout
5,11.0,5,1,10.6,27,120.0,10,130.0,9991,12,9,9,-3.12,39,38,38,0,0,5,5,1,0,0,0,-0.8,9.4,0,1,Dropout
8,13.595,7,1,13.04444444,18,129.1,10,130.0,9500,9,5,5,-4.06,1,1,19,0,0,8,7,1,1,0,0,2.8,15.5,0,1,Non-Dropout
0,0.0,0,1,0.0,39,130.0,6,130.0,9254,10,3,4,1.79,7,1,3,0,0,6,6,3,0,0,0,0.5,12.4,0,1,Dropout
10,12.9,5,1,13.0,27,155.3,13,129.0,9130,9,2,2,1.79,39,3,3,0,0,11,6,40,1,0,0,0.5,12.4,0,1,Dropout
8,14.935,8,1,14.935,18,139.8,8,141.0,9500,8,10,7,-3.12,17,38,38,0,0,8,8,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
0,0.0,0,1,0.0,18,115.2,0,125.0,171,0,9,4,0.32,1,38,37,0,0,0,0,1,1,0,0,2.6,7.6,0,3,Non-Dropout
7,12.22142857,6,1,13.13333333,18,114.9,12,125.0,9500,8,9,9,-0.92,1,19,19,0,0,8,7,1,0,0,0,0.3,16.2,0,2,Non-Dropout
6,12.0,6,1,12.0,21,131.9,7,130.0,9238,7,9,9,0.79,44,19,1,1,0,6,6,39,0,0,0,-0.3,13.9,0,1,Non-Dropout
0,0.0,0,1,0.0,19,126.0,0,133.0,171,0,7,4,1.74,17,1,37,1,0,0,0,1,1,0,0,1.4,10.8,1,3,Non-Dropout
1,10.0,5,1,11.4,19,130.2,8,127.0,9070,6,4,3,1.74,17,1,1,0,0,6,6,1,1,0,0,1.4,10.8,1,1,Non-Dropout
0,0.0,0,1,0.0,24,120.9,6,116.0,9070,6,3,3,-1.7,43,1,1,0,0,6,6,1,0,0,0,3.7,12.7,1,1,Non-Dropout
5,11.0,5,1,11.9,29,126.0,10,133.1,9500,10,5,5,0.79,42,1,1,0,0,8,7,19,1,0,0,-0.3,13.9,1,1,Dropout
0,0.0,0,1,0.0,19,128.2,0,139.0,171,0,3,5,1.74,1,19,19,1,0,0,0,1,1,0,0,1.4,10.8,1,3,Non-Dropout
6,12.42857143,6,1,12.57142857,23,130.0,7,130.0,9003,8,9,9,3.51,44,19,37,0,0,6,6,39,1,0,0,1.4,8.9,1,1,Non-Dropout
4,10.75,5,1,11.2,19,120.1,10,125.0,9147,8,7,7,-0.92,1,1,38,0,1,5,5,1,0,3,0,0.3,16.2,1,3,Dropout
5,10.8,6,1,12.0,26,100.0,8,160.0,9254,7,10,7,-1.7,39,19,37,0,0,6,6,1,0,0,0,3.7,12.7,1,1,Non-Dropout
0,0.0,0,1,0.0,18,134.0,5,148.0,9147,9,5,5,0.32,17,38,37,0,0,5,5,1,0,0,0,2.6,7.6,1,1,Non-Dropout
8,13.75,7,1,11.975,24,130.8,8,150.0,9500,8,4,8,0.79,17,37,19,0,0,8,7,1,0,0,0,-0.3,13.9,1,1,Non-Dropout
0,0.0,0,1,0.0,19,135.8,0,141.0,171,0,10,5,-4.06,1,19,19,0,0,0,0,1,1,0,0,2.8,15.5,1,1,Dropout
1,12.0,3,1,11.66666667,18,111.7,12,118.0,9254,12,7,5,1.79,17,38,37,0,0,6,6,1,1,0,0,0.5,12.4,1,4,Dropout
3,12.33333333,6,1,12.33333333,18,132.9,11,142.0,9773,8,9,9,1.74,1,38,38,0,0,6,6,1,1,0,0,1.4,10.8,1,2,Non-Dropout
3,10.85714286,3,1,10.33333333,18,115.5,11,120.0,9147,8,7,4,1.74,17,19,19,0,1,5,5,1,1,0,0,1.4,10.8,1,3,Dropout
1,11.0,4,1,10.5,21,106.0,11,106.0,9254,8,7,7,-3.12,18,19,37,1,0,6,6,1,1,0,0,-0.8,9.4,1,4,Dropout
6,13.33333333,6,1,13.66666667,19,120.3,6,121.0,9773,6,8,9,3.51,17,1,19,1,1,6,6,1,1,0,0,1.4,8.9,1,4,Non-Dropout
8,15.05555556,7,1,14.84285714,22,130.8,9,150.0,9500,7,9,9,-0.92,17,38,37,1,0,8,7,1,0,0,0,0.3,16.2,1,4,Non-Dropout
6,11.66666667,6,1,12.0,33,117.0,6,120.0,8014,8,6,9,1.74,39,37,37,0,0,6,6,1,0,0,0,1.4,10.8,1,1,Non-Dropout
5,12.2,5,1,12.2,20,110.2,7,114.0,9853,8,9,9,1.74,1,19,19,0,0,6,6,1,1,0,0,1.4,10.8,1,6,Dropout
0,0.0,0,1,0.0,35,155.7,0,140.0,9991,1,2,2,1.74,39,3,3,0,0,5,1,2,1,0,1,1.4,10.8,1,1,Dropout
10,13.3,6,1,12.16666667,24,180.4,14,160.0,9003,17,2,4,1.79,39,3,3,0,1,12,12,4,0,0,0,0.5,12.4,1,1,Dropout
3,11.33333333,5,1,12.0,18,125.5,8,120.0,9254,6,4,4,-1.7,17,19,19,0,0,5,5,1,0,0,0,3.7,12.7,1,1,Non-Dropout
5,11.0,6,1,11.0,33,110.0,11,130.0,8014,7,6,9,-3.12,39,37,37,0,0,6,6,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
7,13.08,7,1,13.08,22,161.0,8,160.0,9500,8,7,9,1.74,42,37,38,1,0,8,8,1,1,0,0,1.4,10.8,0,1,Non-Dropout
5,11.6,4,1,10.5,25,100.0,7,120.0,9670,7,5,4,-3.12,39,1,19,1,0,5,5,1,0,0,0,-0.8,9.4,0,1,Non-Dropout
5,11.2,6,1,10.66666667,20,117.6,6,124.0,9070,9,0,4,0.32,17,19,38,0,0,6,6,1,1,0,1,2.6,7.6,1,1,Non-Dropout
5,13.8,4,1,14.0,23,128.7,5,143.0,9147,6,9,9,2.02,1,38,37,0,0,5,5,1,1,0,0,0.6,11.1,1,6,Non-Dropout
0,0.0,2,1,10.0,18,112.2,9,115.0,9119,9,6,9,-4.06,43,38,19,0,1,5,5,1,1,0,0,2.8,15.5,1,2,Non-Dropout
0,0.0,0,1,0.0,24,100.8,7,133.1,9500,18,10,4,0.79,39,1,1,0,0,7,7,1,0,0,0,-0.3,13.9,1,1,Dropout
6,13.5,6,0,14.0,21,105.0,6,133.1,9773,6,9,9,3.51,17,19,1,0,0,6,6,1,1,0,0,1.4,8.9,0,2,Non-Dropout
0,0.0,2,1,12.0,26,100.0,6,133.1,9130,7,4,4,3.51,15,1,1,0,0,6,6,1,0,0,1,1.4,8.9,0,1,Dropout
0,0.0,3,1,12.66666667,39,115.5,14,133.1,9853,12,0,0,0.32,39,37,34,0,0,6,6,10,0,1,0,2.6,7.6,0,1,Dropout
6,12.33333333,8,1,11.875,44,114.0,7,133.1,8014,11,9,9,-1.7,39,37,19,0,0,6,8,1,0,0,0,3.7,12.7,0,1,Non-Dropout
3,13.25,5,1,14.0,19,137.0,11,130.0,9119,9,2,9,0.79,15,38,3,0,0,5,5,1,1,0,0,-0.3,13.9,1,1,Non-Dropout
6,13.33333333,6,1,13.66666667,18,124.9,6,135.0,9773,6,5,5,3.51,1,37,1,0,0,6,6,1,1,0,0,1.4,8.9,0,5,Non-Dropout
8,14.47777778,7,1,13.75,18,120.3,9,132.0,9500,7,7,7,1.79,1,37,37,1,0,8,7,1,1,0,0,0.5,12.4,0,5,Non-Dropout
5,13.8,5,1,14.2,19,134.3,7,135.0,9085,7,1,9,-1.7,1,1,2,0,0,5,5,1,1,0,2,3.7,12.7,0,1,Non-Dropout
0,0.0,4,0,11.96,19,111.5,7,115.0,9500,10,2,2,0.79,1,3,3,0,1,7,7,1,1,0,0,-0.3,13.9,0,4,Dropout
5,13.4,8,1,12.875,21,128.8,14,130.0,9085,12,9,9,3.51,53,38,38,0,0,9,10,42,0,0,0,1.4,8.9,0,1,Dropout
0,0.0,0,1,0.0,20,110.0,0,133.1,171,0,10,9,-0.92,1,1,1,0,0,0,0,1,1,0,0,0.3,16.2,0,4,Non-Dropout
0,0.0,0,1,0.0,36,113.5,0,130.0,8014,0,5,6,-3.12,39,37,37,0,0,6,6,1,1,0,0,-0.8,9.4,0,1,Dropout
13,14.23076923,18,1,14.63157895,43,160.0,14,133.1,9003,19,6,9,-4.06,39,37,37,0,0,13,18,12,0,1,0,2.8,15.5,0,1,Non-Dropout
0,0.0,0,1,0.0,19,117.4,0,123.0,9853,0,7,9,2.02,18,19,19,0,0,6,6,1,1,0,0,0.6,11.1,0,1,Dropout
11,12.27272727,10,1,13.0,20,122.2,11,130.0,9070,12,8,2,2.02,51,3,1,0,1,11,10,1,0,0,0,0.6,11.1,0,1,Non-Dropout
0,0.0,0,1,0.0,19,118.2,0,122.0,9238,0,7,4,-0.92,1,37,38,0,0,6,6,1,1,0,0,0.3,16.2,0,2,Dropout
4,13.25,4,1,14.2,20,106.7,17,113.0,9085,15,4,4,-4.06,1,1,1,0,0,6,6,1,1,0,0,2.8,15.5,0,1,Dropout
5,12.3,6,1,13.26666667,20,108.2,10,111.0,9500,9,3,4,1.79,1,3,4,0,0,7,7,1,1,0,0,0.5,12.4,0,5,Dropout
3,13.0,6,1,11.66666667,20,107.0,10,133.1,9853,12,3,9,-0.92,17,19,1,0,0,7,7,1,1,0,0,0.3,16.2,0,2,Non-Dropout
6,15.0,6,1,13.85714286,18,136.1,6,142.0,9238,8,7,6,0.79,1,37,37,0,0,6,6,1,1,0,0,-0.3,13.9,0,1,Non-Dropout
3,11.0,3,1,13.0,18,115.3,11,123.0,9147,9,7,4,3.51,17,1,38,1,0,5,5,1,1,0,0,1.4,8.9,0,2,Non-Dropout
5,12.8,5,1,13.4,19,139.8,5,131.0,9085,6,9,9,1.74,1,19,19,0,0,5,5,1,1,0,0,1.4,10.8,0,1,Non-Dropout
6,12.57142857,6,1,12.66666667,18,157.0,7,158.0,9773,6,7,4,1.74,1,1,38,0,0,6,6,1,1,0,0,1.4,10.8,0,3,Non-Dropout
6,12.51666667,6,1,12.51666667,18,131.0,7,122.0,9500,7,9,9,0.32,17,37,37,0,0,7,7,1,1,1,1,2.6,7.6,0,2,Dropout
7,13.0,6,1,11.61666667,20,100.0,7,130.0,9500,11,5,9,0.79,43,38,38,0,0,7,7,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
4,10.75,2,1,10.0,20,140.4,12,154.0,9238,13,7,9,0.32,17,19,37,1,0,6,6,1,1,0,0,2.6,7.6,0,1,Non-Dropout
3,10.66666667,3,1,10.33333333,20,113.4,10,120.0,9147,11,3,3,1.79,17,19,19,0,0,5,5,1,0,0,0,0.5,12.4,0,1,Non-Dropout
5,11.4,5,1,13.14285714,18,137.0,6,140.0,9085,12,7,9,-3.12,1,37,38,0,0,5,5,1,0,0,2,-0.8,9.4,0,2,Non-Dropout
5,14.0,5,1,12.6,18,121.8,5,127.0,9147,5,5,4,2.02,1,2,19,0,0,5,5,1,0,0,0,0.6,11.1,0,1,Non-Dropout
2,11.0,3,1,11.0,21,131.0,12,133.1,9254,12,5,4,-3.12,17,1,1,0,0,6,6,1,1,0,0,-0.8,9.4,0,1,Dropout
4,11.25,5,1,10.8,19,118.6,9,120.0,9147,8,7,9,-0.92,1,19,19,0,0,5,5,1,1,2,0,0.3,16.2,0,2,Non-Dropout
0,0.0,0,1,0.0,19,122.3,0,137.0,171,0,9,2,1.74,1,3,19,0,0,0,0,1,0,0,0,1.4,10.8,0,1,Dropout
5,14.2,5,1,12.8,19,127.9,5,131.0,9670,5,9,9,-3.12,1,38,38,1,0,5,5,1,0,0,0,-0.8,9.4,0,1,Non-Dropout
6,12.2,6,1,14.16666667,19,121.3,13,130.0,9085,15,7,4,-4.06,1,19,38,0,0,6,6,1,1,0,0,2.8,15.5,0,1,Non-Dropout
0,0.0,5,1,12.1,19,117.1,0,122.0,9556,12,5,4,0.79,17,1,1,0,0,7,7,1,1,0,0,-0.3,13.9,0,6,Dropout
5,13.77777778,6,1,14.16666667,20,160.0,17,160.0,9085,7,9,9,1.79,44,37,37,0,0,6,6,39,1,0,0,0.5,12.4,0,1,Non-Dropout
5,13.4,5,1,12.8,18,145.3,7,146.0,9853,8,3,9,-3.12,1,19,38,1,0,6,6,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
6,13.66666667,6,1,13.0,18,122.6,6,131.0,9238,7,3,5,1.79,17,1,39,0,0,6,6,1,1,0,0,0.5,12.4,0,3,Non-Dropout
8,15.01111111,7,1,13.46714286,19,128.0,9,132.0,9500,7,9,8,1.79,17,1,37,0,0,8,7,1,1,0,0,0.5,12.4,0,6,Non-Dropout
7,13.74285714,7,1,13.2375,18,124.9,9,138.0,9500,9,8,5,0.79,1,19,19,1,0,8,7,1,1,0,0,-0.3,13.9,0,3,Dropout
6,13.0,6,1,12.33333333,18,123.7,6,130.0,9070,6,9,9,0.32,17,37,37,0,0,6,6,1,1,0,0,2.6,7.6,0,2,Non-Dropout
5,14.6,5,1,12.4,19,120.1,5,126.0,9147,7,8,4,3.51,1,1,19,0,0,5,5,1,1,0,0,1.4,8.9,0,4,Non-Dropout
0,0.0,5,1,14.0,19,131.7,7,148.0,9500,8,3,3,0.79,17,1,19,0,0,7,7,1,1,0,0,-0.3,13.9,0,6,Dropout
7,11.71428571,9,1,11.66666667,20,133.2,8,130.0,9238,15,7,9,0.32,43,38,37,0,0,7,9,1,0,0,0,2.6,7.6,0,1,Non-Dropout
4,12.5,5,0,12.0,19,109.3,9,117.0,9670,7,9,3,1.79,1,1,38,1,1,6,6,1,0,0,0,0.5,12.4,0,1,Dropout
4,11.5,4,1,12.2,20,113.0,5,120.0,9670,7,5,5,0.32,17,19,19,0,0,5,5,1,1,0,0,2.6,7.6,0,1,Non-Dropout
6,14.83333333,6,1,14.83333333,18,157.9,6,153.0,9773,6,175,141,3.51,1,1,1,1,1,6,6,1,0,0,0,1.4,8.9,0,1,Non-Dropout
7,12.89285714,5,1,13.188,20,112.1,9,117.0,9500,9,7,4,2.02,1,19,1,1,0,8,7,1,0,0,0,0.6,11.1,0,2,Non-Dropout
8,17.5875,7,1,17.125,18,174.7,8,178.0,9500,8,8,4,0.79,18,19,1,0,0,8,7,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
6,12.66666667,6,1,12.66666667,19,128.8,7,129.0,9500,7,9,9,0.32,1,37,37,0,0,7,7,1,1,0,0,2.6,7.6,0,5,Non-Dropout
5,12.0,6,1,12.66666667,19,110.1,10,116.0,9773,8,4,4,1.79,1,19,1,1,0,6,6,1,1,0,0,0.5,12.4,0,6,Non-Dropout
0,0.0,0,0,0.0,22,99.7,7,99.0,9147,8,3,3,3.51,51,3,1,0,1,5,5,1,1,0,0,1.4,8.9,0,1,Non-Dropout
6,11.5,6,1,11.33333333,19,121.0,6,135.0,9238,7,10,9,1.79,1,1,12,1,0,6,6,1,1,0,0,0.5,12.4,0,3,Non-Dropout
8,12.33125,7,1,13.605,19,131.7,11,141.0,9500,10,7,9,-4.06,1,19,19,1,0,8,7,1,1,0,0,2.8,15.5,0,3,Non-Dropout
5,10.8,5,1,12.0,19,119.1,9,132.0,9853,10,6,5,-3.12,17,37,38,1,0,6,6,1,1,0,0,-0.8,9.4,0,5,Non-Dropout
0,0.0,0,1,0.0,19,124.7,10,132.0,9254,10,9,9,0.32,1,12,19,0,0,5,5,1,1,0,0,2.6,7.6,0,4,Dropout
3,11.66666667,5,1,11.2,20,117.2,12,113.0,9254,8,10,9,0.32,17,1,37,0,0,6,6,1,1,0,0,2.6,7.6,0,1,Dropout
5,14.16666667,5,1,13.375,18,128.8,9,134.0,9147,10,10,2,0.79,1,3,19,0,0,5,5,1,0,0,0,-0.3,13.9,0,1,Non-Dropout
7,14.17857143,6,1,13.86333333,20,131.5,9,136.0,9500,8,9,9,2.02,1,1,19,1,0,8,7,1,0,0,0,0.6,11.1,0,1,Non-Dropout
0,0.0,0,1,0.0,18,121.7,0,136.0,171,0,8,2,-3.12,1,3,37,0,0,0,0,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
5,13.4,5,1,12.4,19,123.4,6,129.0,9085,6,7,4,0.32,1,1,38,0,0,5,5,1,0,0,0,2.6,7.6,0,1,Non-Dropout
5,10.83333333,3,1,12.33333333,18,124.7,10,138.0,9853,11,6,7,-3.12,17,38,38,0,0,6,6,1,1,0,0,-0.8,9.4,0,1,Non-Dropout
5,11.8,6,1,13.33333333,18,132.8,8,137.0,9853,7,9,9,0.32,1,37,37,0,0,6,6,1,1,0,0,2.6,7.6,0,1,Non-Dropout
3,10.0,3,1,12.66666667,21,108.7,12,115.0,9853,10,5,2,-3.12,43,3,37,0,0,6,6,1,1,0,0,-0.8,9.4,0,1,Dropout
4,11.5,6,1,12.0,19,138.1,10,129.0,9853,8,6,6,0.32,1,38,37,0,0,6,6,1,0,0,0,2.6,7.6,0,1,Dropout
5,11.8,5,1,10.6,18,126.5,5,131.0,9147,5,9,9,1.79,1,38,38,1,0,5,5,1,0,0,0,0.5,12.4,0,1,Non-Dropout
6,11.85714286,6,1,12.25,18,127.4,7,133.0,9238,8,9,7,-1.7,17,1,37,1,0,6,6,1,1,0,0,3.7,12.7,0,2,Non-Dropout
6,11.83333333,4,1,11.0,20,123.6,9,125.0,9238,10,10,9,-3.12,1,19,1,0,0,6,6,1,1,0,0,-0.8,9.4,0,3,Non-Dropout
5,12.6,5,1,11.0,24,122.0,9,120.0,8014,11,8,6,2.02,39,1,19,1,0,6,6,1,0,0,0,0.6,11.1,0,1,Non-Dropout
6,13.0,6,1,13.16666667,19,118.2,9,128.0,9670,6,1,4,1.74,1,19,1,0,0,6,6,1,0,0,0,1.4,10.8,0,1,Dropout
7,12.76111111,7,1,12.85555556,18,123.9,12,127.0,9500,9,7,9,-4.06,1,19,37,1,0,8,7,1,1,0,0,2.8,15.5,0,1,Non-Dropout
8,15.355,7,1,14.91875,18,125.8,8,134.0,9500,8,9,9,-4.06,1,19,19,0,0,8,7,1,1,0,0,2.8,15.5,0,2,Non-Dropout
